DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
1907031715;Withdrawn;WE HOLDINGS LTD;5RJ.SI;2013-12-03;2014-02-17;^STI
1907052972;Withdrawn;ACORN MINERALS PLC;ACO.L;2014-04-23;2014-07-10;^FTSE
1907060819;Withdrawn;MONUMENT MINING LTD;MMY.V;2014-09-05;2014-12-23;^GSPTSE
1907065118;Withdrawn;SINO CONSTRUCTION LTD;F3V.SI;2014-11-18;2015-02-26;^STI
1907067388;Withdrawn;SEMAFO INC.;SMF.TO;2014-12-01;2015-02-11;^GSPTSE
1907067431;Withdrawn;GANSU HUANGTAI WINE-MARKETING INDUSTRY CO. LTD;000995.SZ;2014-06-19;2014-09-16;^SSEC
1907067874;Withdrawn;BLACK STAR PETROLEUM LTD;BSP.AX;2014-10-14;2014-11-24;^AXJO
1907068412;Withdrawn;POLARIS LTD;5BI.SI;2014-08-06;2014-10-20;^STI
1907083220;Withdrawn;COPARTNER TECHNOLOGY CORPORATION;3550.TW;2015-01-19;2015-03-25;^TWII
1907084733;Withdrawn;WE HOLDINGS LTD;5RJ.SI;2015-01-26;2015-04-16;^STI
1907086841;Withdrawn;ROWSLEY LTD;A50.SI;2015-02-12;2015-04-03;^STI
1909021072;Withdrawn;ASIASONS CAPITAL LTD;5ET.SI;2013-09-17;2013-12-12;^STI
1909059193;Withdrawn;TIGER BRANDS LTD;UG5A.F;2014-01-09;2014-03-25;^GSPC
1909072859;Withdrawn;SHANGHAI FOSUN PHARMACEUTICAL (GROUP) CO. LTD;600196.SS;2014-02-17;2014-04-21;^SSEC
1909109323;Withdrawn;RESONANCE HEALTH LTD;RHT.AX;2014-06-03;2014-07-11;^AXJO
1909116451;Withdrawn;ABBVIE INC.;ABBV;2014-07-18;2014-10-20;^NY
1909118603;Withdrawn;QLT INC.;QLT.TO;2014-06-26;2014-10-09;^IXIC
1909119812;Withdrawn;AFRICAN CONSOLIDATED RESOURCES PLC;VAST.L;2014-06-16;2014-09-30;^FTSE
1909125891;Withdrawn;CANARC RESOURCE CORPORATION;CCM.TO;2014-07-15;2014-10-16;^GSPTSE
1909156927;Withdrawn;GRANA Y MONTERO SAA;GRAM;2014-10-16;2014-11-17;^NY
1909198297;Withdrawn;TELECITY GROUP PLC;TCY.L;2015-03-09;2015-05-29;^FTSE
1909199865;Withdrawn;DEUTSCHE WOHNEN AG;DWNI.F;2015-03-18;2015-04-15;^MDAXI
1909199889;Withdrawn;DEUTSCHE WOHNEN AG;DWNI.F;2015-03-18;2015-04-15;^MDAXI
